Time,C6_avg,psi6,V,S_cnn,S_param
0.0,5.56,0.9942799999999999,4,2,2
9.9999,5.56,0.99351,4,2,2
19.9999,5.56,0.99677,4,2,2
29.9999,5.56,0.99492,4,2,2
39.9999,5.56,0.99621,4,2,2
49.9999,5.56,0.99669,4,2,2
59.9999,5.56,0.9955700000000001,4,2,2
69.9999,5.56,0.99551,4,2,2
79.9999,5.56,0.9946200000000001,4,2,2
89.9999,5.56,0.9950100000000001,4,2,2
99.9999,5.56,0.9939,4,2,2
109.9999,5.56,0.9954700000000001,4,2,2
119.9999,5.56,0.9949600000000001,4,2,2
129.9999,5.56,0.99544,4,2,2
139.9999,5.56,0.9954700000000001,4,2,2
149.9999,5.54,0.98764,4,2,1
159.9999,5.56,0.9953700000000001,4,2,2
169.9999,5.56,0.99572,4,2,2
179.9999,5.56,0.9952700000000001,4,2,2
189.9999,5.566669999999999,0.9960200000000001,4,2,2
199.9999,5.566669999999999,0.9954200000000001,4,2,2
209.9999,5.566669999999999,0.9963799999999999,4,2,2
219.9999,5.566669999999999,0.9935200000000001,4,2,2
229.9999,5.566669999999999,0.9948799999999999,4,2,2
239.9999,5.566669999999999,0.9934200000000001,4,2,2
249.9999,5.566669999999999,0.9950399999999999,4,2,2
259.9999,5.566669999999999,0.9934,4,2,2
269.9999,5.566669999999999,0.9913700000000001,4,2,2
279.9999,5.566669999999999,0.99159,4,2,2
289.9999,5.566669999999999,0.9963299999999999,4,2,2
299.9999,5.566669999999999,0.9938,4,2,2
309.9999,5.566669999999999,0.99508,4,2,2
319.9999,5.566669999999999,0.99593,4,2,2
329.9999,5.566669999999999,0.9953,4,2,2
339.9999,5.566669999999999,0.99551,4,2,2
349.9999,5.566669999999999,0.9951200000000001,4,2,2
359.9999,5.566669999999999,0.99436,4,2,2
369.9999,5.54667,0.9897299999999999,4,2,1
379.9999,5.566669999999999,0.9949100000000001,4,2,2
389.9999,5.566669999999999,0.99203,4,2,2
399.9999,5.566669999999999,0.99446,4,2,2
409.9999,5.566669999999999,0.9969899999999999,4,2,2
419.9999,5.566669999999999,0.9956,4,2,2
429.9999,5.566669999999999,0.9944200000000001,4,2,2
439.9999,5.566669999999999,0.99715,4,2,2
449.9999,5.566669999999999,0.9947600000000001,4,2,2
459.9999,5.566669999999999,0.9926200000000001,4,2,2
469.9999,5.566669999999999,0.99554,4,2,2
479.9999,5.566669999999999,0.99526,4,2,2
489.9999,5.566669999999999,0.99593,4,2,2
499.9999,5.566669999999999,0.9959100000000001,4,2,2
509.9999,5.566669999999999,0.99451,4,2,2
519.9999,5.566669999999999,0.9955700000000001,4,2,2
529.9999,5.566669999999999,0.9964700000000001,4,2,2
539.9999,5.566669999999999,0.99493,4,2,2
549.9999,5.56,0.989,4,2,1
559.9999,5.55333,0.9916,4,2,2
569.9999,5.566669999999999,0.99497,4,2,2
579.9999,5.566669999999999,0.9938600000000001,4,2,2
589.9999,5.566669999999999,0.99421,4,2,2
599.9999,5.566669999999999,0.99426,4,2,2
609.9999,5.566669999999999,0.99523,4,2,2
619.9999,5.566669999999999,0.99359,4,2,2
629.9999,5.566669999999999,0.99535,4,2,2
639.9999,5.566669999999999,0.9959,4,2,2
649.9999,5.566669999999999,0.9938299999999999,4,2,2
659.9999,5.566669999999999,0.99618,4,2,2
669.9999,5.566669999999999,0.99564,4,2,2
679.9999,5.566669999999999,0.99529,4,2,2
689.9999,5.566669999999999,0.99449,4,2,2
699.9999,5.566669999999999,0.9948600000000001,4,2,2
709.9999,5.566669999999999,0.99565,4,2,2
719.9999,5.566669999999999,0.9948,4,2,2
729.9999,5.566669999999999,0.99379,4,2,2
739.9999,5.566669999999999,0.9960100000000001,4,2,2
749.9999,5.55333,0.99097,4,2,2
759.9999,5.566669999999999,0.99445,4,2,2
769.9999,5.566669999999999,0.9950100000000001,4,2,2
779.9999,5.566669999999999,0.99645,4,2,2
789.9999,5.566669999999999,0.99575,4,2,2
799.9999,5.566669999999999,0.99421,4,2,2
809.9999,5.566669999999999,0.9951,4,2,2
819.9999,5.566669999999999,0.99585,4,2,2
829.9999,5.566669999999999,0.99635,4,2,2
839.9999,5.566669999999999,0.9953299999999999,4,2,2
849.9999,5.566669999999999,0.99393,4,2,2
859.9999,5.566669999999999,0.99535,4,2,2
869.9999,5.566669999999999,0.99523,4,2,2
879.9999,5.566669999999999,0.99587,4,2,2
889.9999,5.566669999999999,0.9966299999999999,4,2,2
899.9999,5.566669999999999,0.99224,4,2,2
909.9999,5.566669999999999,0.9931700000000001,4,2,2
919.9999,5.566669999999999,0.99513,4,2,2
929.9999,5.566669999999999,0.99505,4,2,2
939.9999,5.566669999999999,0.9954299999999999,4,2,2
949.9999,5.566669999999999,0.99613,4,2,2
959.9999,5.566669999999999,0.99471,4,2,2
969.9999,5.566669999999999,0.9955799999999999,4,2,2
979.9999,5.566669999999999,0.9960899999999999,4,2,2
989.9999,5.566669999999999,0.99441,4,2,2
999.9999,5.566669999999999,0.99474,4,2,2
