Time,C6_avg,psi6,V,S_cnn,S_param
0.0,5.56,0.9942799999999999,4,2,2
9.9999,5.56,0.9941200000000001,4,2,2
19.9999,5.56,0.99595,4,2,2
29.9999,5.56,0.99584,4,2,2
39.9999,5.56,0.99431,4,2,2
49.9999,5.56,0.99421,4,2,2
59.9999,5.56,0.99656,4,2,2
69.9999,5.56,0.99615,4,2,2
79.9999,5.56,0.9947600000000001,4,2,2
89.9999,5.56,0.9935700000000001,4,2,2
99.9999,5.56,0.99292,4,2,2
109.9999,5.56,0.99456,4,2,2
119.9999,5.56,0.9921399999999999,4,2,2
129.9999,5.56,0.9961200000000001,4,2,2
139.9999,5.56,0.9944799999999999,4,2,2
149.9999,5.56,0.9948299999999999,4,2,2
159.9999,5.56,0.9938899999999999,4,2,2
169.9999,5.56,0.9952799999999999,4,2,2
179.9999,5.56,0.9960200000000001,4,2,2
189.9999,5.56,0.9954799999999999,4,2,2
199.9999,5.56,0.99419,4,2,2
209.9999,5.56,0.9945799999999999,4,2,2
219.9999,5.56,0.9971399999999999,4,2,2
229.9999,5.56,0.9939600000000001,4,2,2
239.9999,5.56,0.99566,4,2,2
249.9999,5.56,0.9949399999999999,4,2,2
259.9999,5.56,0.9940100000000001,4,2,2
269.9999,5.56,0.99577,4,2,2
279.9999,5.56,0.9954799999999999,4,2,2
289.9999,5.56,0.99544,4,2,2
299.9999,5.56,0.99508,4,2,2
309.9999,5.56,0.99492,4,2,2
319.9999,5.56,0.99574,4,2,2
329.9999,5.56,0.99415,4,2,2
339.9999,5.56,0.99351,4,2,2
349.9999,5.56,0.9953700000000001,4,2,2
359.9999,5.56,0.99613,4,2,2
369.9999,5.54,0.98911,4,2,1
379.9999,5.56,0.9933799999999999,4,2,2
389.9999,5.56,0.9944299999999999,4,2,2
399.9999,5.56,0.9953799999999999,4,2,2
409.9999,5.56,0.99541,4,2,2
419.9999,5.56,0.99369,4,2,2
429.9999,5.56,0.99423,4,2,2
439.9999,5.56,0.9961,4,2,2
449.9999,5.56,0.99419,4,2,2
459.9999,5.56,0.9952200000000001,4,2,2
469.9999,5.54667,0.98831,4,2,1
479.9999,5.55333,0.99259,4,2,2
489.9999,5.56,0.9934,4,2,2
499.9999,5.56,0.9950600000000001,4,2,2
509.9999,5.56,0.99335,4,2,2
519.9999,5.56,0.99477,4,2,2
529.9999,5.56,0.99593,4,2,2
539.9999,5.56,0.9943,4,2,2
549.9999,5.56,0.99477,4,2,2
559.9999,5.56,0.99472,4,2,2
569.9999,5.56,0.99656,4,2,2
579.9999,5.56,0.99649,4,2,2
589.9999,5.56,0.99545,4,2,2
599.9999,5.56,0.9967799999999999,4,2,2
609.9999,5.56,0.9960899999999999,4,2,2
619.9999,5.56,0.99455,4,2,2
629.9999,5.56,0.9936299999999999,4,2,2
639.9999,5.56,0.99465,4,2,2
649.9999,5.56,0.9945700000000001,4,2,2
659.9999,5.56,0.9951200000000001,4,2,2
669.9999,5.56,0.99441,4,2,2
679.9999,5.56,0.9959600000000001,4,2,2
689.9999,5.56,0.99595,4,2,2
699.9999,5.56,0.99618,4,2,2
709.9999,5.56,0.99519,4,2,2
719.9999,5.56,0.9959899999999999,4,2,2
729.9999,5.56,0.9924700000000001,4,2,2
739.9999,5.56,0.99439,4,2,2
749.9999,5.56,0.9948,4,2,2
759.9999,5.56,0.9955799999999999,4,2,2
769.9999,5.56,0.9945700000000001,4,2,2
779.9999,5.54667,0.98945,4,2,1
789.9999,5.566669999999999,0.99585,4,2,2
799.9999,5.566669999999999,0.99566,4,2,2
809.9999,5.54667,0.99108,4,2,2
819.9999,5.566669999999999,0.99369,4,2,2
829.9999,5.566669999999999,0.99415,4,2,2
839.9999,5.566669999999999,0.99275,4,2,2
849.9999,5.566669999999999,0.9951200000000001,4,2,2
859.9999,5.566669999999999,0.9960100000000001,4,2,2
869.9999,5.566669999999999,0.9963700000000001,4,2,2
879.9999,5.566669999999999,0.9916200000000001,4,2,2
889.9999,5.566669999999999,0.9935799999999999,4,2,2
899.9999,5.566669999999999,0.99477,4,2,2
909.9999,5.566669999999999,0.9954799999999999,4,2,2
919.9999,5.566669999999999,0.99579,4,2,2
929.9999,5.566669999999999,0.99579,4,2,2
939.9999,5.566669999999999,0.9935200000000001,4,2,2
949.9999,5.566669999999999,0.9929100000000001,4,2,2
959.9999,5.566669999999999,0.9948600000000001,4,2,2
969.9999,5.566669999999999,0.9929600000000001,4,2,2
979.9999,5.566669999999999,0.9950399999999999,4,2,2
989.9999,5.566669999999999,0.99197,4,2,2
999.9999,5.566669999999999,0.99497,4,2,2
